Status,Post Idea,Content Notes,Type,Channel,Publish Date,Link to published content,Drive/Canva Link
Published,Video Announcement Tabără Post-its,"Idea

https://www.instagram.com/p/DGe7jcUoaPt?hl=en",Reel,Instagram,"Mon, 10 Mar",,https://drive.google.com/drive/u/5/folders/1POQKpIuDlluSGezuAfxAl7SgLv79s0pF
Published,Video compilation momente din DDF Retreat 2025,,Reel,Instagram,"Tue, 11 Mar",,https://drive.google.com/drive/u/5/folders/1fhU97vGV8kzdjDW8hJDwZ07KIHfzBfXq
Published,Video Cristi Matei 24 - Cand va veni sfârșitul,,Reel,Instagram,"Thu, 13 Mar",,https://drive.google.com/drive/u/5/folders/111Ivu3vuI3Na3sFEWnRvhu9kTR2wSlUu
Published,"Promo Tabără - Pst, înscrie-te în tabără","Făcut ca și cum m-ar căuta din mulțime și face zoom înspre mine și eu le zic să se înscrie în tabără. Foarte scurt

",Reel,Instagram,"Sat, 15 Mar",,
Published,"Ce vrei să comunici tinerilor din diaspora? ","---

Suntem aici la conferința Modelat de Cuvânt organizată de asociația Vital. 

Aici, liderii de tineret din România, și nu numai, învățăm cum să aducem Cuvântul lui Dumnezeu generației Z într-un mod relevant și transformator.

Și aceeași pasiune de a comunica Cuvântul lui Dumnezeu, care ne aduce împreună la această conferință în România, ne unește și dincolo de... Frontiere. 

De aceea, liderii prezenți aici au un mesaj special pentru tinerii români din diaspora:

ÎNSCRIE-TE LA TABĂRA DINCOLO DE FRONTIERE

* ""...pentru că există o urgență - să ducem Evanghelia neamurilor care ne înconjoară.""
* ""...pentru a EXPLORA planul lui Dumnezeu cu viața ta. 
* ""...pentru că vei găsi locul tău în marea trimitere a lui Dumnezeu.""
* ""...pentru că vei descoperi de ce Isus este răspunsul într-o lume a religiilor diferite.""
* ""...pentru că poți să ai un impact real în țara în care ești.""
* ""...pentru că vei învăța să fii un ambasador al lui Hristos în cultura în care trăiești.""
* ""...pentru că schimbarea începe cu tine.""
* ""...pentru că vei descoperi cum să depășești barierele culturale.""
* ""...pentru că vei învăța cum să împărtășești credința ta într-un mod eficient și autentic.""



---

Shots

* Wide shot showing many people and you in the middle: Suntem aici la conferința modelat de cuvânt... [end of sentence]
  * What about a shot coming out of the elevator? is it to crazy? It’s also hard to replicate
* You jump/sit on the sofa and you look at the camera: Aici, liderii de tineret din românia.... 
* Now it would be great to show that ”Dincolo de Fronteire” by crossing something or smth similar to that. 
  * if not, it could be just you chaging scenery again. Maybe a shot in the big conference room. 



",,Instagram,"Sun, 16 Mar",,
Published,Oh God Here Am I music video,,Reel,Instagram,"Thu, 20 Mar",,https://drive.google.com/drive/u/5/folders/1nLofS-6qfDZhcEuAFBPYUmMrdnOtZKvp
Published,Joyce si Kola: de ce există biserica?,"

De ce exista biserica_-Cover.jpg

De ce exista biserica_.mov",Reel,Instagram,"Sat, 22 Mar",,https://drive.google.com/drive/u/5/folders/1ebKVaqS022qE9Z1cecyqd47QeatM8vLM
Published,Există Ceva Special În Tabere,,Reel,Instagram,"Mon, 24 Mar",,
Published,The faces of DdF,"* Reel în care arătăm fețe din interviews, să apară foarte multe persoane, foarte multe fețe, ca să arăăm că au fost foarte multe persoane care au participat la Kairos

",Reel,Instagram,"Tue, 25 Mar",,
Next Up,Sopa de letras - Înscrie-te în tabără,,Reel,Instagram,"Thu, 27 Mar",,
Draft,Reel cu echipa de primire din tabără,"Un video în 

https://www.instagram.com/p/DCzMcoSuGbI?hl=en",Reel,Instagram,,,
Draft,Prezentarea echipei din tabara,"Aici idea ar fi să punem vorbitorii taberei, dacă vine un misionar....

https://www.instagram.com/p/DGaiAjsIP0S?hl=en",Post,Instagram,,,
Draft,De ce am pus numele Dincolo de Frontiere?,,"Carousel ",Instagram,,,
Draft,Video și/sau carousel în care să arătăm istoricul taberelor și faptul că suntem la a zecea ediție.,,Reel,Instagram,,,
Draft,Reel în care arătăm frazele care sunt scrise pe tricoul de Beyond: Beyond [...]. Pe un fundal muzical inspirațional,,Reel,Instagram,,,
Draft,Personal quotes din Radical,"Idea ar fi din punctul de vedere mai „personal” sa impartasesc cateva din citatele din cartea Radical care mie mi-au schimbat viata. 





",Reel,Instagram,,,
Draft,First things first with scenes from the camp,"* Idea
  * https://www.instagram.com/p/C_4wCeAiv1p/?hl=en
* Is it too much? 😂

",Reel,Instagram,,,
Next Up,"Gabi Boldura - ""De ce crezi că o tabără poate schimba viața unui tânăr?""","* Aici basically you let him cook si poate poti sa pui aici cadre/fețe ale tinerilor, din tabere anterioare. 



* De ce crezi că taberele pot schimba 
* De ce sunt importante taberele?
* Cum crezi că o tabără poate schimba viața unui tânăr?",Reel,Instagram,,,
Next Up,Reading a verse or a series where we read some verses about missions or nations. Made like this reel,"https://www.instagram.com/p/DGrGYlgtH2s/?hl=en

---

",Reel,Instagram,,,
Draft,"Debunking Misconceptions about missions ",,Reel,Instagram,,,
Draft,Announcement ca mai sunt 5 zile de reducere pentru tabara,"* Mai apoi facem announcement ca prelungim inca 7 zile.



* Idea e ca trebuie sa facem si mai multa propaganda pentru acestea, ca lumea sa stie ",Reel,Instagram,,,
Draft,Drop the wallet,"* A man is putting the wallet on their back pocket
* It drops
* Another man looks sneaky and steals the wallet from the ground
* Opens the wallet and sees that it has just a flyer about the camp 
* Looks back at the person and he sees the person pointing at him ",Reel,Instagram,,,
